当社グループを取り巻く環境は、実質賃金が伸び悩むなか、消費者の皆様の生活防衛意識の高まりや節約志向により、個人消費は本格的な改善には至らず、また少子高齢化、人口減少による社会構造の変化、雇用改善に伴う労働コストの上昇、企業間競争の激化など、引き続き厳しい状況となりました	0
春から夏にかけましては個人消費の低迷などにより、きのこの価格は厳しい状況で推移いたしました	0
台湾の現地法人「台灣北斗生技股份有限公司」におきましては、ブランドの構築、企画提案などに力を入れ販売活動を行ってまいりましたが、企業間競争の激化により厳しい状況で推移いたしました	0
化成品事業におきましては、引き続き厳しい販売環境にありましたが、中核である包装資材部門におきましては、効率化・利益率の改善を図るため営業戦略を見直し、販売強化に注力してまいりました	0
以上の結果、化成品事業の売上高は92億45百万円（同1.7％減）となりました	0
当連結会計年度におけるわが国経済は、景気は緩やかな回復基調が継続しているものの、個人消費には未だ力強さがなく、さらに英国のＥＵ離脱問題や米国のトランプ新政権発足の影響により海外経済の不確実性が高まるなど、景気の先行きについては依然不透明な状況にあります	0
一方、水産・食品業界におきましては、消費マインドの低迷により、厳しい経営環境が続いております	0
食品製造販売部門においては、取引先の見直し等により、売上高は昨年を下回りましたが、原料価格が低下したことと、販売経費の削減により、所定の利益を確保することができました	0
この結果、売上高は、前連結会計年度に比べ142億円（3.2%）減少の4,363億円となりました	0
これにより、売上高は前連結会計年度に比べて減少しました	0
一方、中国およびその他の新興国における需要が低調であったことから、全体として販売量は減少しました	0
一方、ITOの主要原料であるインジウムの価格が下落したことから販売価格が低下し、売上高は前連結会計年度に比べて減少しました	0
国内の亜鉛メッキ鋼板向け需要は、自動車向けが低調に推移したこと等から減少しました	0
金・銀ともに前期に比べ国際相場は上昇したものの、為替相場は円高となったことから、国内価格は同水準となり、売上高は前連結会計年度に比べて微減となりました	0
一方、海外においては、新興国経済の減速、米国新政権の政策の不確実性などの影響が懸念され、景気の先行きについては、依然として不透明な状況が続いております	0
その結果、同事業の当連結会計年度の売上高は、販売数量の増加があったものの、円ベースの原料価格下落に伴う販売価格の低下により、前年度比505百万円減収（8.1％減収）の5,734百万円となりました	0
このような状況のもと、当社グループの業績は、主力のコークス事業において、原料炭価格上昇の影響や、販売数量の増加などがあったものの、燃料販売事業で販売価格の下落などがあり、当期の連結売上高は、前期比34億５千２百万円減少の890億５千１百万円となった	0
